Task Name,Owner,Start Date,End Date,Project Name,Priority,Status
Configure Cache Settings,Rahul,2026-05-02,2026-05-15,AI Module,Medium,In Progress
Configure Search Settings,Arjun,2026-04-28,2026-05-22,Mobile App,Medium,Completed
Migrate Report Database,Rahul,2026-03-11,2026-03-23,Web Portal,Low,In Progress
Review Authentication Code,Divya,2026-05-06,2026-05-30,Web Portal,Medium,To Do
Integrate Payment Api,Arjun,2026-04-16,2026-05-05,ERP Upgrade,High,In Progress
Implement Api Feature,Sneha,2026-04-08,2026-05-06,ERP Upgrade,Medium,Completed
Test Login Component,Gokul,2026-03-20,2026-04-06,Mobile App,Medium,In Progress
Migrate Analytics Database,Sneha,2026-04-29,2026-05-17,ERP Upgrade,Low,In Progress
Review Report Code,Gokul,2026-05-04,2026-05-14,Cloud Migration,High,To Do
Analyze Backup Data,Meena,2026-04-11,2026-05-11,CRM System,Low,To Do
Optimize Report Performance,Meena,2026-04-20,2026-05-17,ERP Upgrade,Low,In Progress
Refactor Api Logic,Karthik,2026-05-07,2026-05-15,Cloud Migration,Low,Completed
Setup Payment Environment,Meena,2026-04-15,2026-05-12,Data Pipeline,High,Completed
Optimize Analytics Performance,Sneha,2026-03-20,2026-04-14,Data Pipeline,Medium,In Progress
Review Search Code,Divya,2026-03-21,2026-03-28,Data Pipeline,Low,Completed
Review Authentication Code,Arjun,2026-03-19,2026-04-04,ERP Upgrade,High,In Progress
Fix Profile Bug,Meena,2026-04-06,2026-05-05,Web Portal,High,In Progress
Update Cache Documentation,Gokul,2026-04-28,2026-05-16,Cloud Migration,Low,To Do
Fix Search Bug,Karthik,2026-05-18,2026-06-13,Cloud Migration,Medium,To Do
Configure Profile Settings,Sneha,2026-04-14,2026-04-30,Web Portal,High,In Progress
Design Authentication Module,Divya,2026-05-01,2026-05-27,ERP Upgrade,Low,To Do
Setup Payment Environment,Arjun,2026-03-14,2026-03-29,AI Module,Low,Completed
Implement Analytics Feature,Karthik,2026-04-03,2026-04-07,Mobile App,Medium,In Progress
Update Export Documentation,Sneha,2026-04-23,2026-05-20,Web Portal,Medium,In Progress
Deploy Scheduler Service,Karthik,2026-05-10,2026-05-13,Data Pipeline,High,Completed
Integrate Login Api,Divya,2026-03-19,2026-04-15,Mobile App,Low,Completed
Analyze Login Data,Sneha,2026-03-30,2026-04-09,Mobile App,High,Completed
Optimize Analytics Performance,Priya,2026-05-09,2026-06-03,AI Module,High,In Progress
Analyze Export Data,Arjun,2026-03-25,2026-04-21,AI Module,Low,Completed
Deploy Dashboard Service,Gokul,2026-04-28,2026-05-13,Data Pipeline,Low,Completed
